customer_id,recency,frequency,monetary,r_score,f_score,m_score,RFM_score,segment,cluster
1000,19,64,348171.55,2,5,3,253,At Risk,0
1001,22,62,118961.28,1,4,1,141,At Risk,3
1002,1,60,289007.24,5,4,2,542,Loyal,0
1003,1,60,339780.7,5,4,3,543,Loyal,0
1004,11,46,113814.0,3,1,1,311,,3
1005,3,61,354969.46,5,4,3,543,Loyal,0
1006,1,66,247754.94999999998,5,5,2,552,Loyal,0
1007,15,59,391194.23,2,4,3,243,At Risk,0
1008,9,65,493960.01,3,5,4,354,Loyal,0
1009,3,53,387073.45999999996,5,2,3,523,,1
1010,1,56,551585.1900000001,5,3,5,535,Loyal,0
1011,9,61,803039.48,3,4,5,345,Loyal,0
1012,21,42,206338.49,2,1,1,211,,3
1013,7,52,145969.50999999998,4,2,1,421,,3
1014,13,56,184164.59,2,3,1,231,,3
1015,1,55,306645.05,5,3,2,532,Loyal,1
1016,10,64,371575.93,3,5,3,353,Loyal,0
1017,3,59,274465.29000000004,5,4,2,542,Loyal,0
1018,2,61,536475.33,5,4,5,545,Champions,0
1019,2,51,221095.43,5,2,1,521,,3
1020,12,58,371684.15,3,4,3,343,Loyal,0
1021,14,53,168804.77000000002,2,2,1,221,,3
1022,41,55,807061.62,1,3,5,135,,2
1023,15,57,207010.37,2,3,1,231,,3
1024,8,46,288066.65,3,1,2,312,,1
1025,25,63,797815.52,1,5,5,155,At Risk,0
1026,9,48,340129.33999999997,3,1,3,313,,1
1027,5,58,503898.13,4,4,4,444,Champions,0
1028,10,61,556624.54,3,4,5,345,Loyal,0
1029,6,57,220362.03,4,3,1,431,Loyal,3
1030,24,67,579055.8300000001,1,5,5,155,At Risk,0
1031,24,55,207167.35,1,3,1,131,,3
1032,18,62,281407.18,2,4,2,242,At Risk,0
1033,11,51,185137.58000000002,3,2,1,321,,3
1034,1,55,209192.07,5,3,1,531,Loyal,3
1035,17,56,269277.74,2,3,2,232,,3
1036,30,50,563244.86,1,2,5,125,,2
1037,14,69,414962.93,2,5,4,254,At Risk,0
1038,28,58,201374.23,1,4,1,141,At Risk,2
1039,17,70,874822.78,2,5,5,255,At Risk,0
1040,2,65,346700.14999999997,5,5,3,553,Loyal,0
1041,23,57,243995.45,1,3,2,132,,3
1042,2,55,332189.15,5,3,3,533,Loyal,1
1043,7,63,279359.24,4,5,2,452,Loyal,0
1044,10,59,376636.29,3,4,3,343,Loyal,0
1045,32,56,379048.08,1,3,3,133,,2
1046,9,57,167741.38,3,3,1,331,Loyal,3
1047,9,61,304141.29,3,4,2,342,Loyal,0
1048,18,62,399213.46,2,4,3,243,At Risk,0
1049,10,54,299887.27999999997,3,3,2,332,Loyal,1
1050,4,49,362941.9,5,1,3,513,,1
1051,13,49,330318.68,2,1,3,213,,1
1052,11,63,386765.58,3,5,3,353,Loyal,0
1053,47,68,237278.05,1,5,2,152,At Risk,2
1054,14,52,788000.29,2,2,5,225,,1
1055,13,53,145201.62,2,2,1,221,,3
1056,37,62,481658.49,1,4,4,144,At Risk,2
1057,2,70,117640.16,5,5,1,551,Loyal,3
1058,29,63,248234.88,1,5,2,152,At Risk,2
1059,5,54,253398.69,4,3,2,432,Loyal,3
1060,1,69,306235.7,5,5,2,552,Loyal,0
1061,6,69,407748.39,4,5,4,454,Champions,0
1062,6,68,293508.7,4,5,2,452,Loyal,0
1063,8,65,431184.63,3,5,4,354,Loyal,0
1064,10,56,246085.21000000002,3,3,2,332,Loyal,3
1065,10,47,295422.43,3,1,2,312,,1
1066,28,53,264171.58999999997,1,2,2,122,,2
1067,9,52,193616.77,3,2,1,321,,3
1068,12,56,166501.46,3,3,1,331,Loyal,3
1069,31,51,257720.53999999998,1,2,2,122,,2
1070,20,44,279104.85,2,1,2,212,,1
1071,23,54,529804.83,1,3,4,134,,1
1072,6,72,185120.91999999998,4,5,1,451,Loyal,0
1073,3,61,466348.84,5,4,4,544,Champions,0
1074,19,61,299155.72000000003,2,4,2,242,At Risk,0
1075,30,55,216880.22,1,3,1,131,,2
1076,6,54,257836.93,4,3,2,432,Loyal,3
1077,14,54,372729.77,2,3,3,233,,1
1078,4,48,226201.41999999998,5,1,2,512,,3
1079,16,67,577923.09,2,5,5,255,At Risk,0
1080,27,52,478679.74,1,2,4,124,,2
1081,11,55,564143.54,3,3,5,335,Loyal,1
1082,12,66,442116.79,3,5,4,354,Loyal,0
1083,11,62,440885.75,3,4,4,344,Loyal,0
1084,13,51,336331.14,2,2,3,223,,1
1085,13,52,271507.26,2,2,2,222,,1
1086,10,52,382160.59,3,2,3,323,,1
1087,6,61,152370.88999999998,4,4,1,441,Loyal,3
1088,6,66,363631.26,4,5,3,453,Loyal,0
1089,8,54,188608.44,3,3,1,331,Loyal,3
1090,1,64,580284.8400000001,5,5,5,555,Champions,0
1091,6,58,160989.93,4,4,1,441,Loyal,3
1092,36,46,841053.23,1,1,5,115,,2
1093,3,57,478805.12,5,3,4,534,Loyal,0
1094,6,57,574812.3099999999,4,3,5,435,Loyal,0
1095,46,48,266241.87,1,1,2,112,,2
1096,4,60,112860.45,5,4,1,541,Loyal,3
1097,13,46,282226.47000000003,2,1,2,212,,1
1098,15,54,214493.46000000002,2,3,1,231,,3
1099,15,62,246269.97,2,4,2,242,At Risk,0
1100,30,58,433451.51999999996,1,4,4,144,At Risk,2
1101,12,52,406884.89,3,2,4,324,,1
1102,10,51,543964.0700000001,3,2,5,325,,1
1103,1,58,325834.08,5,4,3,543,Loyal,0
1104,1,61,198872.12,5,4,1,541,Loyal,3
1105,2,58,449297.18,5,4,4,544,Champions,0
1106,2,60,309765.0,5,4,2,542,Loyal,0
1107,6,52,393677.31,4,2,3,423,,1
1108,2,56,280350.04,5,3,2,532,Loyal,1
1109,2,47,384456.86,5,1,3,513,,1
1110,2,50,233283.3,5,2,2,522,,3
1111,20,59,463994.11,2,4,4,244,At Risk,0
1112,10,74,693082.42,3,5,5,355,Loyal,0
1113,3,67,752659.92,5,5,5,555,Champions,0
1114,19,40,104052.76999999999,2,1,1,211,,3
1115,13,46,195963.02,2,1,1,211,,3
1116,14,57,300483.42,2,3,2,232,,0
1117,42,69,352133.87,1,5,3,153,At Risk,2
1118,4,46,310372.57,5,1,2,512,,1
1119,24,64,360101.66,1,5,3,153,At Risk,0
1120,5,49,235033.94000000003,4,1,2,412,,3
1121,19,52,269676.28,2,2,2,222,,1
1122,7,63,120243.12,4,5,1,451,Loyal,3
1123,2,50,731370.53,5,2,5,525,,1
1124,3,62,252467.53999999998,5,4,2,542,Loyal,0
1125,2,56,453277.82,5,3,4,534,Loyal,0
1126,8,44,114506.58,3,1,1,311,,3
1127,13,54,653573.45,2,3,5,235,,1
1128,13,59,623486.28,2,4,5,245,At Risk,0
1129,25,47,443277.81,1,1,4,114,,1
1130,20,65,768732.99,2,5,5,255,At Risk,0
1131,14,56,473035.35,2,3,4,234,,0
1132,5,43,363506.79,4,1,3,413,,1
1133,6,60,217774.64,4,4,1,441,Loyal,3
1134,21,60,305278.82,2,4,2,242,At Risk,0
1135,11,62,509534.21,3,4,4,344,Loyal,0
1136,1,50,363678.52,5,2,3,523,,1
1137,9,58,535224.73,3,4,5,345,Loyal,0
1138,2,48,189502.23,5,1,1,511,,3
1139,14,56,285134.58999999997,2,3,2,232,,1
1140,5,49,461693.51,4,1,4,414,,1
1141,28,66,283330.8,1,5,2,152,At Risk,0
1142,25,48,273717.64,1,1,2,112,,1
1143,5,57,367958.69,4,3,3,433,Loyal,0
1144,1,45,276012.54,5,1,2,512,,1
1145,11,54,826241.68,3,3,5,335,Loyal,1
1146,13,62,523376.45999999996,2,4,4,244,At Risk,0
1147,51,69,295002.02999999997,1,5,2,152,At Risk,2
1148,20,46,261360.66999999998,2,1,2,212,,1
1149,27,60,732744.01,1,4,5,145,At Risk,0
1150,19,66,519927.02,2,5,4,254,At Risk,0
1151,41,48,275774.42,1,1,2,112,,2
1152,4,58,624549.23,5,4,5,545,Champions,0
1153,14,49,651675.7,2,1,5,215,,1
1154,3,62,456301.89,5,4,4,544,Champions,0
1155,17,39,371715.23,2,1,3,213,,1
