customer_id,Recency,Frequency,Monetary,cluster
1000,19,64,348171.55,1
1001,22,62,118961.28,1
1002,1,60,289007.24,1
1003,1,60,339780.7,1
1004,11,46,113814.0,2
1005,3,61,354969.46,1
1006,1,66,247754.94999999998,1
1007,15,59,391194.23,1
1008,9,65,493960.01,1
1009,3,53,387073.45999999996,2
1010,1,56,551585.1900000001,0
1011,9,61,803039.48,0
1012,21,42,206338.49,2
1013,7,52,145969.50999999998,2
1014,13,56,184164.59,2
1015,1,55,306645.05,2
1016,10,64,371575.93,1
1017,3,59,274465.29000000004,1
1018,2,61,536475.33,0
1019,2,51,221095.43,2
1020,12,58,371684.15,1
1021,14,53,168804.77000000002,2
1022,41,55,807061.62,3
1023,15,57,207010.37,1
1024,8,46,288066.65,2
1025,25,63,797815.52,0
1026,9,48,340129.33999999997,2
1027,5,58,503898.13,0
1028,10,61,556624.54,0
1029,6,57,220362.03,1
1030,24,67,579055.8300000001,0
1031,24,55,207167.35,2
1032,18,62,281407.18,1
1033,11,51,185137.58000000002,2
1034,1,55,209192.07,2
1035,17,56,269277.74,2
1036,30,50,563244.86,3
1037,14,69,414962.93,1
1038,28,58,201374.23,3
1039,17,70,874822.78,0
1040,2,65,346700.14999999997,1
1041,23,57,243995.45,1
1042,2,55,332189.15,2
1043,7,63,279359.24,1
1044,10,59,376636.29,1
1045,32,56,379048.08,3
1046,9,57,167741.38,1
1047,9,61,304141.29,1
1048,18,62,399213.46,1
1049,10,54,299887.27999999997,2
1050,4,49,362941.9,2
1051,13,49,330318.68,2
1052,11,63,386765.58,1
1053,47,68,237278.05,3
1054,14,52,788000.29,0
1055,13,53,145201.62,2
1056,37,62,481658.49,3
1057,2,70,117640.16,1
1058,29,63,248234.88,1
1059,5,54,253398.69,2
1060,1,69,306235.7,1
1061,6,69,407748.39,1
1062,6,68,293508.7,1
1063,8,65,431184.63,1
1064,10,56,246085.21000000002,2
1065,10,47,295422.43,2
1066,28,53,264171.58999999997,3
1067,9,52,193616.77,2
1068,12,56,166501.46,2
1069,31,51,257720.53999999998,3
1070,20,44,279104.85,2
1071,23,54,529804.83,0
1072,6,72,185120.91999999998,1
1073,3,61,466348.84,1
1074,19,61,299155.72000000003,1
1075,30,55,216880.22,3
1076,6,54,257836.93,2
1077,14,54,372729.77,2
1078,4,48,226201.41999999998,2
1079,16,67,577923.09,0
1080,27,52,478679.74,3
